"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV33802","Archaea","Nanoarchaeaeota","Woesearchaeia",,,,
"ASV33803","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",,
"ASV33804","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",,
"ASV33805","Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Abawacabacteria",,,
"ASV33806","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",,,
"ASV33807","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",
"ASV33808","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",,
"ASV33809","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",
"ASV33810","Bacteria",,,,,,
"ASV33811","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33812","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33813","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",,
"ASV33814","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus",
"ASV33815","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",,,
"ASV33816","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",,
"ASV33817","Bacteria","Elusimicrobia","Elusimicrobia","Lineage_IV",,,
"ASV33818","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",,
"ASV33819","Bacteria",,,,,,
"ASV33820","Bacteria",,,,,,
"ASV33821","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",,
"ASV33822","Bacteria","Proteobacteria","Alphaproteobacteria",,,,
"ASV33823","Bacteria","Proteobacteria","Deltaproteobacteria",,,,
"ASV33824","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",,,
"ASV33825","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33826","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42",,
"ASV33827","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",
"ASV33828","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","GCA-900066755",
"ASV33829","Bacteria","Proteobacteria",,,,,
"ASV33830","Bacteria","Proteobacteria",,,,,
"ASV33831","Bacteria","Omnitrophicaeota",,,,,
"ASV33832","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",,
"ASV33833","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Criblamydiaceae","Estrella",
"ASV33834","Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria",,,
"ASV33835","Archaea","Nanoarchaeaeota","Woesearchaeia",,,,
"ASV33836","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae",,
"ASV33837","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",,
"ASV33838","Bacteria","Patescibacteria","ABY1",,,,
"ASV33839","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33840","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33841","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33842","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Ryanbacteria",,,
"ASV33843","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Giovannonibacteria",,,
"ASV33844","Bacteria","Planctomycetes",,,,,
"ASV33845","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV33846","Bacteria","Bacteroidetes","Bacteroidia",,,,
"ASV33847","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",,,
"ASV33848","Archaea","Nanoarchaeaeota","Woesearchaeia",,,,
"ASV33849","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33850","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",,
"ASV33851","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria",,,
"ASV33852","Archaea","Nanoarchaeaeota","Woesearchaeia",,,,
"ASV33853","Bacteria","FCPU426",,,,,
"ASV33854","Bacteria","Omnitrophicaeota",,,,,
"ASV33855","Bacteria","Armatimonadetes",,,,,
"ASV33856","Bacteria","Chloroflexi","Dehalococcoidia",,,,
"ASV33857","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",,
"ASV33858","Bacteria","Patescibacteria","ABY1",,,,
"ASV33859","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",,
"ASV33860","Bacteria",,,,,,
"ASV33861","Bacteria",,,,,,
"ASV33862","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",,
