ASV,SeqID
ASV32973,GJKK7LC02GE30Y_cs_nbp_rc
ASV33006,GFAVKPA02EB1JB_cs_nbp_rc
ASV33827,F48MJBB01DIA42_cs_nbp_rc
ASV34251,GF02R4M01DCSEI_cs_nbp_rc
ASV34624,F47543201D5U7G_cs_nbp_rc
ASV34822,GB527Y402JVPR2_cs_nbp_rc
ASV34920,GCKVOD102G4QNO_cs_nbp_rc
ASV35313,GEUHMPI02J0SCH_cs_nbp_rc
ASV35314,F5MMO9001DWELI_cs_nbp_rc
ASV35316,GE838LV02GPWHE_cs_nbp_rc
ASV35321,F5K51YR02DRHPW_cs_nbp_rc
ASV35328,F5K51YR02C0MCY_cs_nbp_rc
