ASV,SeqID
ASV355,F48MJBB01DWE3L_cs_nbp_rc
ASV362,GEZPXXX01A6F1U_cs_nbp_rc
ASV365,GESGHXH01BZXDY_cs_nbp_rc
ASV382,GESGHXH02IKV1Y_cs_nbp_rc
ASV388,F48MJBB01EV01D_cs_nbp_rc
ASV390,GB527Y402HM4TF_cs_nbp_rc
ASV392,F48MJBB02G1G2H_cs_nbp_rc
ASV397,GER5HLA01EE7PZ_cs_nbp_rc
ASV405,F48MJBB02JVL1S_cs_nbp_rc
ASV409,GEZPXXX01A8DGG_cs_nbp_rc
ASV413,F48MJBB02JBQ16_cs_nbp_rc
ASV414,GDGDDZP02HQZTX_cs_nbp_rc
ASV419,GEUHUCK02IAXAT_cs_nbp_rc
ASV424,GCKVOD102F44EG_cs_nbp_rc
ASV425,GB35ICN02I7GC7_cs_nbp_rc
ASV426,GFU6RAN02HVE2F_cs_nbp_rc
ASV435,GER4X9E01D55XY_cs_nbp_rc
ASV436,GCKVOD102JEFG3_cs_nbp_rc
ASV443,F48MJBB02FKM2L_cs_nbp_rc
ASV455,F5MMO9001AZNSI_cs_nbp_rc
ASV470,F47543202JVGF3_cs_nbp_rc
ASV471,GFU6RAN02IA2MI_cs_nbp_rc
ASV474,GE9OTGL01D1XWP_cs_nbp_rc
ASV478,GD752CP01EKZZZ_cs_nbp_rc
ASV491,GFTL5VC01C5ODB_cs_nbp_rc
ASV493,GB527Y402F6VFN_cs_nbp_rc
ASV495,GFTECRW02FLU4N_cs_nbp_rc
ASV496,F48MJBB01ERD1J_cs_nbp_rc
ASV505,GB527Y402FV4JM_cs_nbp_rc
ASV516,GCSBTPH02ECQNL_cs_nbp_rc
ASV519,F48MJBB02GHDU5_cs_nbp_rc
ASV521,GEZPXXX01BYX1S_cs_nbp_rc
ASV522,F48MJBB01ED0CA_cs_nbp_rc
ASV523,F48MJBB02HHJSJ_cs_nbp_rc
ASV529,GB527Y402F1NOB_cs_nbp_rc
ASV531,F48MJBB02FIVV7_cs_nbp_rc
ASV540,F48MJBB01CWNKV_cs_nbp_rc
ASV543,GDGDDZP02GUFCF_cs_nbp_rc
ASV550,GD7TPFO01C8CKP_cs_nbp_rc
ASV558,GEZPXXX01B02EO_cs_nbp_rc
ASV564,GB527Y402GSW32_cs_nbp_rc
ASV569,GDGDDZP02IIDE2_cs_nbp_rc
ASV570,GER5HLA01A9ZS7_cs_nbp_rc
ASV572,GDNSLZP02IJKCG_cs_nbp_rc
ASV575,F48MJBB02HQH3V_cs_nbp_rc
ASV583,GB527Y402F4RRX_cs_nbp_rc
ASV599,GDGDDZP02IJUH0_cs_nbp_rc
ASV609,F48MJBB02G23SP_cs_nbp_rc
ASV614,F48MJBB02ISDZ5_cs_nbp_rc
ASV618,GD2EXUL02HJETG_cs_nbp_rc
ASV622,GESGHXH01AVUFM_cs_nbp_rc
ASV623,F48MJBB01CSNLS_cs_nbp_rc
ASV633,GE8UCXQ02J309N_cs_nbp_rc
ASV640,GB527Y402JJ5O8_cs_nbp_rc
ASV645,F48MJBB01CIGB8_cs_nbp_rc
ASV651,GCKVOD102JKGCG_cs_nbp_rc
ASV653,GCKVOD102H23PG_cs_nbp_rc
ASV667,GER5HLA02IIPCS_cs_nbp_rc
ASV669,GEZPXXX01BVXAV_cs_nbp_rc
ASV674,GCKVOD102FKXE7_cs_nbp_rc
ASV676,GDGDDZP02FOS5Y_cs_nbp_rc
ASV677,GEUHUCK02ITK2G_cs_nbp_rc
ASV680,GESGHXH01D126I_cs_nbp_rc
ASV688,GFTL5VC01D5T5H_cs_nbp_rc
ASV697,F48MJBB02FPSYN_cs_nbp_rc
ASV701,GJKK7LC01CFLVG_cs_nbp_rc
ASV715,GFU6RAN02FRICX_cs_nbp_rc
ASV720,GFNMF7A01AUTGR_cs_nbp_rc
ASV735,F48MJBB01BAV8O_cs_nbp_rc
ASV738,F48MJBB02GIJH9_cs_nbp_rc
ASV746,GDGDDZP02IWFAR_cs_nbp_rc
ASV747,GDIBMGA02IC4PX_cs_nbp_rc
ASV752,F47543201EJCXK_cs_nbp_rc
ASV774,GEUHUCK02GCUHP_cs_nbp_rc
ASV776,F48MJBB01AUU6P_cs_nbp_rc
ASV779,GDGDDZP02FVFWB_cs_nbp_rc
ASV788,F48MJBB01BO2PQ_cs_nbp_rc
ASV805,GDGDDZP02H07KU_cs_nbp_rc
ASV828,GD4KK7401CPW28_cs_nbp_rc
ASV832,GDPKFOA02JOQU1_cs_nbp_rc
ASV835,F5MMO9001CUT2A_cs_nbp_rc
ASV847,GFJWUBL03FK2C3_cs_nbp_rc
ASV870,GFBN6OR01B145F_cs_nbp_rc
ASV874,GEUHMPI02JXI4T_cs_nbp_rc
ASV875,F48MJBB01EAISR_cs_nbp_rc
ASV884,F48MJBB02FRIS4_cs_nbp_rc
ASV885,GDNSLZP02HQ15X_cs_nbp_rc
ASV900,GB35ICN02HC0TZ_cs_nbp_rc
ASV913,GESGHXH01AKHWY_cs_nbp_rc
ASV919,F48MJBB02GWSK9_cs_nbp_rc
ASV934,GESGHXH01C2MOC_cs_nbp_rc
ASV958,GESGHXH01DWX71_cs_nbp_rc
ASV963,F47543201D6DDQ_cs_nbp_rc
ASV982,GEZPXXX01AY9Q3_cs_nbp_rc
ASV988,GESGHXH02HBI3T_cs_nbp_rc
ASV1009,GEQLSJJ01CYPI7_cs_nbp_rc
ASV1010,GESGHXH02GENYC_cs_nbp_rc
ASV1014,F48MJBB02GHH5I_cs_nbp_rc
ASV1026,GB35ICN02HQOYM_cs_nbp_rc
ASV1027,GEZJUZR02HBWDX_cs_nbp_rc
ASV1059,F5MMO9001CSJLA_cs_nbp_rc
ASV1063,F5MMO9001CGCZ2_cs_nbp_rc
ASV1086,GDGDDZP02JX5P4_cs_nbp_rc
ASV1087,GER5HLA02GTVW6_cs_nbp_rc
ASV1116,GFTKDII02JYJCX_cs_nbp_rc
ASV1133,GDGDDZP02H3J4O_cs_nbp_rc
ASV1135,F5MMO9001BKTF6_cs_nbp_rc
ASV1139,GCKVOD102GWCRD_cs_nbp_rc
ASV1142,F5MMO9001DYRTG_cs_nbp_rc
ASV1146,GFAVKPA02EJEZ3_cs_nbp_rc
ASV1194,GDGDDZP02GWW7N_cs_nbp_rc
ASV1196,F48MJBB01DI4OV_cs_nbp_rc
ASV1199,F47543201EO8S0_cs_nbp_rc
ASV1204,GEZPXXX01CBLTC_cs_nbp_rc
ASV1209,GFAVKPA02EYUVN_cs_nbp_rc
ASV1211,F5MMO9001A3ZJO_cs_nbp_rc
ASV1215,GESGWO201EUGYN_cs_nbp_rc
ASV1221,GFNMF7A02HZMZV_cs_nbp_rc
ASV1278,GFNMF7A02HMCFL_cs_nbp_rc
ASV1293,GCKVOD102HBY30_cs_nbp_rc
ASV1301,GEUHMPI02H20K5_cs_nbp_rc
ASV1341,GESGWO201BCRPM_cs_nbp_rc
ASV1356,F48MJBB02GTJC4_cs_nbp_rc
ASV1366,GB527Y402G9FKX_cs_nbp_rc
ASV1374,GE9OTGL01CWVSP_cs_nbp_rc
ASV1386,GEZPXXX01AGY3H_cs_nbp_rc
ASV1408,F48MJBB02FHX8U_cs_nbp_rc
ASV1416,GER5HLA01ARFOG_cs_nbp_rc
ASV1450,GDGDDZP02IGL8E_cs_nbp_rc
ASV1455,GEUHMPI02HVWFH_cs_nbp_rc
ASV1456,GEXQJQW01BU33K_cs_nbp_rc
ASV1463,GD4KK7401BW5JA_cs_nbp_rc
ASV1489,GDGDDZP02JVJWV_cs_nbp_rc
ASV1492,GE838LV02I6OOD_cs_nbp_rc
ASV1493,GE9OTGL01B9NJ3_cs_nbp_rc
ASV1544,GER5HLA02JKVB1_cs_nbp_rc
ASV1593,GF0N05X02ERRE7_cs_nbp_rc
ASV1628,GFTL5VC01BY0ZN_cs_nbp_rc
ASV1638,GEKVCDK02GTRP8_cs_nbp_rc
ASV1650,GFTL5VC01A86FU_cs_nbp_rc
ASV1708,GE8UCXQ01DD1JY_cs_nbp_rc
ASV1750,GD752CP01DKM0J_cs_nbp_rc
ASV1834,GF0SLGH01B10W4_cs_nbp_rc
ASV1907,GMNT8XW01C6EAZ_cs_nbp_rc
ASV1950,GFNMF7A02GYARY_cs_nbp_rc
ASV1986,F5K51YR02ENWOQ_cs_nbp_rc
ASV2020,GB527Y402FZL04_cs_nbp_rc
ASV2034,GFAVKPA02EYGSV_cs_nbp_rc
ASV2051,GEQLSJJ02GYZMC_cs_nbp_rc
ASV2097,F5MMO9001BKZ0K_cs_nbp_rc
ASV2123,GFNMF7A02HXBP7_cs_nbp_rc
ASV2167,GDGDDZP02FSLXD_cs_nbp_rc
ASV2194,GEKVCDK02JQHA1_cs_nbp_rc
ASV2197,GEKVCDK02HK36K_cs_nbp_rc
ASV2246,F5MMO9001EMWZH_cs_nbp_rc
ASV2347,GESGHXH01DW76O_cs_nbp_rc
ASV2413,F48MJBB02JNBZ3_cs_nbp_rc
ASV2425,F48MJBB02FJ53V_cs_nbp_rc
ASV2490,F47543201CNHZ8_cs_nbp_rc
ASV2492,GDIBMGA02IE75T_cs_nbp_rc
ASV2497,F5K51YR02EDSM2_cs_nbp_rc
ASV2542,F47543201A1NWN_cs_nbp_rc
ASV2610,F48MJBB02FQVJ2_cs_nbp_rc
ASV2616,GEUHUCK02ITZG7_cs_nbp_rc
ASV2667,GCKVOD102IOG0H_cs_nbp_rc
ASV2690,F5MMO9001C4RS7_cs_nbp_rc
ASV2716,GEQLSJJ02J0GD4_cs_nbp_rc
ASV2740,GB527Y402JRB7L_cs_nbp_rc
ASV2775,F48MJBB02GYJJ7_cs_nbp_rc
ASV2783,GD4KK7401BKDX3_cs_nbp_rc
ASV2787,F5K51YR02EBTLA_cs_nbp_rc
ASV2854,GFJWUBL03G90XJ_cs_nbp_rc
ASV2876,F7JWPPP02F3MS5_cs_nbp_rc
ASV2908,GFU6RAN02HUTEW_cs_nbp_rc
ASV2942,GB527Y402GG13T_cs_nbp_rc
ASV2963,GDGDDZP02INDGV_cs_nbp_rc
ASV2981,GEUHUCK02G0BG9_cs_nbp_rc
ASV3092,F47543201C0B11_cs_nbp_rc
ASV3157,GFTKDII02F6ODP_cs_nbp_rc
ASV3160,GCE7VNM02FTDKS_cs_nbp_rc
ASV3184,F48MJBB01AWNZ5_cs_nbp_rc
ASV3193,GESGHXH01CV5FN_cs_nbp_rc
ASV3273,GFVF3IZ02IXNHG_cs_nbp_rc
ASV3296,F47543201ARKCF_cs_nbp_rc
ASV3331,GFNMF7A02F78BG_cs_nbp_rc
ASV3424,GER5HLA02JFR3Y_cs_nbp_rc
ASV3478,GER5HLA02FRBB2_cs_nbp_rc
ASV3532,F5K51YR02C3R9O_cs_nbp_rc
ASV3573,GCKVOD102I8M2P_cs_nbp_rc
ASV3574,GF0N05X02C34T2_cs_nbp_rc
ASV3671,GD4KK7401C0TRA_cs_nbp_rc
ASV3676,GFTL5VC01BEDRR_cs_nbp_rc
ASV3684,GE855VJ02G57VA_cs_nbp_rc
ASV3816,GDGDDZP02GK4MX_cs_nbp_rc
ASV3818,GDGDDZP02GI5RV_cs_nbp_rc
ASV3832,F5MMO9001D66HD_cs_nbp_rc
ASV3988,GER5HLA01B8S8C_cs_nbp_rc
ASV4008,F5MMO9001C8I06_cs_nbp_rc
ASV4190,GFAVKPA02C4K91_cs_nbp_rc
ASV4236,GEUHUCK01E0GZ3_cs_nbp_rc
ASV4245,GEKVCDK02FNNMR_cs_nbp_rc
ASV4508,F48MJBB01AZOIK_cs_nbp_rc
ASV4561,GB527Y402G0M76_cs_nbp_rc
ASV4636,GER5HLA01B0LNJ_cs_nbp_rc
ASV4685,F47543202F2SAD_cs_nbp_rc
ASV4721,F48MJBB02F87AG_cs_nbp_rc
ASV4854,F48MJBB02HNFRV_cs_nbp_rc
ASV5007,GF0SLGH01DHQVA_cs_nbp_rc
ASV5036,GF0N05X02DXADN_cs_nbp_rc
ASV5085,GDGDDZP02GZVL4_cs_nbp_rc
ASV5142,GB527Y402GJRGS_cs_nbp_rc
ASV5164,GE9OTGL01CI84A_cs_nbp_rc
ASV5200,F48MJBB01DUYV0_cs_nbp_rc
ASV5434,F48MJBB01B81KW_cs_nbp_rc
ASV5521,GFTL5VC01B5LOH_cs_nbp_rc
ASV5639,F5K51YR02EI25E_cs_nbp_rc
ASV5664,GMNT8XW01DOASA_cs_nbp_rc
ASV5669,GB527Y402F34RL_cs_nbp_rc
ASV5875,GJKK7LC01EE4BU_cs_nbp_rc
ASV5878,F47543201B1OH8_cs_nbp_rc
ASV5942,F48MJBB02JOFSM_cs_nbp_rc
ASV5986,GJKK7LC01EJH2H_cs_nbp_rc
ASV6008,GEZPXXX02FSXV1_cs_nbp_rc
